date,REAINTRATREARAT1YE,CPIAUCSL_PC1,SPASTT01USM661N,FEDFUNDS,OT
1996-08-01,2.45370100,2.81230,35.1152000000000015,5.22,387.510
1996-09-01,2.67428960,3.00457,35.7464999999999975,5.30,383.290
1996-10-01,2.36091570,3.06189,36.9917400000000001,5.24,380.909
1996-11-01,2.15343490,3.25309,38.4985700000000008,5.31,377.869
1996-12-01,2.45361110,3.37882,38.7816299999999998,5.29,369.338
1997-01-01,2.14983000,3.03814,39.9673000000000016,5.25,355.025
1997-02-01,1.95379130,3.03226,41.4509599999999949,5.19,346.400
1997-03-01,2.42806580,2.76527,41.2677699999999987,5.39,352.311
1997-04-01,2.58341090,2.43434,39.7115900000000011,5.51,344.707
1997-05-01,2.59784350,2.23785,42.9164200000000022,5.50,344.100
1997-06-01,2.77497690,2.23357,45.2638200000000026,5.56,340.805
1997-07-01,2.93198090,2.16561,47.6273699999999991,5.52,323.780
1997-08-01,2.64664890,2.29008,47.6865900000000025,5.54,323.998
1997-09-01,2.84858720,2.21940,48.4996200000000002,5.54,322.616
1997-10-01,2.33297070,2.08597,49.4408600000000007,5.50,324.863
1997-11-01,2.16665380,1.89036,48.7314500000000024,5.52,306.345
1997-12-01,2.83529710,1.69705,49.9765299999999968,5.50,288.776
1998-01-01,2.65581340,1.63112,49.9245000000000019,5.56,289.264
1998-02-01,2.53064530,1.44020,52.6996400000000023,5.51,297.743
1998-03-01,2.69924950,1.37672,55.5262000000000029,5.49,295.870
1998-04-01,2.70722660,1.43840,57.2448800000000020,5.45,308.558
1998-05-01,2.59774460,1.68856,56.8894299999999973,5.49,298.971
1998-06-01,2.86986550,1.62297,56.4233900000000048,5.56,292.223
1998-07-01,2.26653150,1.74564,58.0705800000000067,5.54,292.874
1998-08-01,2.34616520,1.61692,53.3936199999999985,5.55,284.228
1998-09-01,2.23960010,1.42680,50.1651200000000017,5.51,288.661
1998-10-01,2.11769940,1.48607,50.6531299999999973,5.07,296.595
1998-11-01,2.01977820,1.48423,55.8790100000000010,4.83,294.243
1998-12-01,2.36395660,1.60692,57.0383799999999965,4.68,291.357
1999-01-01,1.97754850,1.66667,58.9662199999999928,4.63,287.333
1999-02-01,1.90742410,1.66667,58.2997299999999967,4.76,287.495
1999-03-01,2.43334450,1.72840,59.7840800000000030,4.81,286.243
1999-04-01,2.50242990,2.28113,62.1668599999999998,4.74,282.620
1999-05-01,2.16183750,2.09102,62.9455499999999972,4.74,276.932
1999-06-01,3.44903840,1.96560,62.3427099999999967,4.76,261.402
1999-07-01,2.54590720,2.14461,64.2543000000000006,4.99,256.198
1999-08-01,2.63163780,2.26438,61.5005999999999986,5.07,256.936
1999-09-01,2.71541290,2.62997,60.1979400000000027,5.22,264.470
1999-10-01,2.25767010,2.56254,59.3237400000000008,5.20,311.562
1999-11-01,2.16694580,2.62035,62.8075100000000006,5.42,293.650
1999-12-01,1.84404300,2.67640,63.1987499999999969,5.30,283.743
